Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,HomeWin
2005-08-20,Liverpool,Sunderland,1.0,0.0,H,1.0,0.0,H,B Knight,15.0,2.0,6.0,0.0,8.0,20.0,5.0,5.0,2.0,3.0,0.0,1.0,1
2005-09-18,Liverpool,Man United,0.0,0.0,D,0.0,0.0,D,R Styles,9.0,4.0,3.0,1.0,24.0,15.0,4.0,2.0,2.0,2.0,0.0,0.0,1
2005-02-10,Liverpool,Chelsea,1.0,4.0,A,1.0,2.0,A,G Poll,11.0,7.0,5.0,5.0,15.0,17.0,4.0,2.0,1.0,3.0,0.0,0.0,0
2005-10-15,Liverpool,Blackburn,1.0,0.0,H,0.0,0.0,D,M Halsey,19.0,4.0,5.0,1.0,8.0,22.0,9.0,2.0,0.0,3.0,0.0,1.0,1
2005-10-29,Liverpool,West Ham,2.0,0.0,H,1.0,0.0,H,U Rennie,17.0,4.0,9.0,2.0,15.0,13.0,10.0,5.0,2.0,0.0,0.0,0.0,1
2005-11-19,Liverpool,Portsmouth,3.0,0.0,H,2.0,0.0,H,P Walton,15.0,7.0,11.0,5.0,7.0,8.0,7.0,6.0,1.0,1.0,0.0,0.0,1
2005-03-12,Liverpool,Wigan,3.0,0.0,H,2.0,0.0,H,U Rennie,16.0,10.0,12.0,6.0,16.0,15.0,11.0,6.0,1.0,2.0,0.0,0.0,1
2005-10-12,Liverpool,Middlesbrough,2.0,0.0,H,0.0,0.0,D,S Bennett,23.0,6.0,13.0,3.0,10.0,18.0,11.0,2.0,1.0,2.0,0.0,1.0,1
2005-12-26,Liverpool,Newcastle,2.0,0.0,H,2.0,0.0,H,M Halsey,21.0,2.0,11.0,2.0,9.0,13.0,7.0,4.0,1.0,0.0,0.0,1.0,1
2005-12-31,Liverpool,West Brom,1.0,0.0,H,0.0,0.0,D,A Wiley,27.0,4.0,13.0,0.0,8.0,12.0,10.0,1.0,0.0,0.0,0.0,0.0,1
2006-01-14,Liverpool,Tottenham,1.0,0.0,H,0.0,0.0,D,D Gallagher,16.0,6.0,12.0,2.0,8.0,12.0,10.0,7.0,0.0,1.0,0.0,1.0,1
2006-01-02,Liverpool,Birmingham,1.0,1.0,D,0.0,0.0,D,U Rennie,24.0,3.0,10.0,2.0,13.0,12.0,11.0,3.0,0.0,0.0,0.0,1.0,1
2006-02-14,Liverpool,Arsenal,1.0,0.0,H,0.0,0.0,D,G Poll,22.0,6.0,9.0,2.0,12.0,15.0,13.0,1.0,0.0,1.0,0.0,0.0,1
2006-02-26,Liverpool,Man City,1.0,0.0,H,1.0,0.0,H,D Gallagher,20.0,6.0,12.0,3.0,4.0,16.0,12.0,2.0,0.0,2.0,0.0,1.0,1
2006-04-03,Liverpool,Charlton,0.0,0.0,D,0.0,0.0,D,M Atkinson,21.0,3.0,10.0,1.0,5.0,14.0,12.0,5.0,1.0,1.0,0.0,0.0,1
2006-03-15,Liverpool,Fulham,5.0,1.0,H,2.0,1.0,H,A Wiley,19.0,8.0,10.0,4.0,8.0,12.0,8.0,2.0,0.0,3.0,0.0,0.0,1
2006-03-25,Liverpool,Everton,3.0,1.0,H,1.0,0.0,H,P Dowd,17.0,8.0,10.0,5.0,12.0,25.0,5.0,3.0,3.0,7.0,1.0,1.0,1
2006-09-04,Liverpool,Bolton,1.0,0.0,H,1.0,0.0,H,R Styles,17.0,7.0,7.0,4.0,6.0,6.0,3.0,2.0,1.0,1.0,0.0,0.0,1
2006-04-29,Liverpool,Aston Villa,3.0,1.0,H,1.0,0.0,H,M Halsey,15.0,7.0,9.0,3.0,7.0,11.0,6.0,5.0,0.0,0.0,0.0,0.0,1
2006-08-26,Liverpool,West Ham,2.0,1.0,H,2.0,1.0,H,A Wiley,19.0,8.0,8.0,3.0,15.0,6.0,6.0,1.0,1.0,0.0,0.0,0.0,1
2006-09-20,Liverpool,Newcastle,2.0,0.0,H,1.0,0.0,H,M Halsey,22.0,11.0,11.0,6.0,12.0,13.0,8.0,6.0,1.0,1.0,0.0,0.0,1
2006-09-23,Liverpool,Tottenham,3.0,0.0,H,0.0,0.0,D,H Webb,14.0,5.0,6.0,1.0,12.0,9.0,6.0,0.0,1.0,0.0,0.0,0.0,1
2006-10-14,Liverpool,Blackburn,1.0,1.0,D,0.0,1.0,A,M Clattenburg,18.0,5.0,9.0,3.0,6.0,15.0,8.0,1.0,1.0,3.0,0.0,0.0,1
2006-10-28,Liverpool,Aston Villa,3.0,1.0,H,3.0,0.0,H,S Bennett,19.0,7.0,6.0,5.0,11.0,17.0,8.0,4.0,0.0,1.0,0.0,0.0,1
2006-04-11,Liverpool,Reading,2.0,0.0,H,1.0,0.0,H,U Rennie,21.0,5.0,10.0,2.0,8.0,14.0,9.0,6.0,0.0,2.0,0.0,0.0,1
2006-11-25,Liverpool,Man City,1.0,0.0,H,0.0,0.0,D,R Styles,12.0,6.0,6.0,2.0,9.0,20.0,8.0,2.0,2.0,1.0,0.0,0.0,1
2006-11-29,Liverpool,Portsmouth,0.0,0.0,D,0.0,0.0,D,A Wiley,15.0,3.0,4.0,1.0,13.0,13.0,5.0,1.0,1.0,3.0,0.0,0.0,1
2006-09-12,Liverpool,Fulham,4.0,0.0,H,0.0,0.0,D,U Rennie,32.0,5.0,19.0,3.0,7.0,8.0,14.0,1.0,1.0,1.0,0.0,0.0,1
2006-12-23,Liverpool,Watford,2.0,0.0,H,0.0,0.0,D,P Dowd,15.0,7.0,10.0,4.0,10.0,17.0,7.0,6.0,0.0,0.0,0.0,0.0,1
2007-01-01,Liverpool,Bolton,3.0,0.0,H,0.0,0.0,D,G Poll,19.0,1.0,9.0,0.0,18.0,12.0,8.0,8.0,0.0,3.0,0.0,0.0,1
2007-01-20,Liverpool,Chelsea,2.0,0.0,H,2.0,0.0,H,R Styles,17.0,11.0,8.0,3.0,10.0,17.0,3.0,7.0,0.0,1.0,0.0,0.0,1
2007-03-02,Liverpool,Everton,0.0,0.0,D,0.0,0.0,D,A Wiley,25.0,6.0,10.0,4.0,13.0,18.0,6.0,4.0,0.0,3.0,0.0,0.0,1
2007-02-24,Liverpool,Sheffield United,4.0,0.0,H,2.0,0.0,H,S Bennett,8.0,6.0,4.0,2.0,12.0,9.0,5.0,1.0,0.0,2.0,0.0,0.0,1
2007-03-03,Liverpool,Man United,0.0,1.0,A,0.0,0.0,D,M Atkinson,15.0,5.0,8.0,3.0,11.0,12.0,12.0,2.0,2.0,2.0,0.0,1.0,0
2007-03-31,Liverpool,Arsenal,4.0,1.0,H,2.0,0.0,H,S Bennett,12.0,11.0,7.0,3.0,17.0,8.0,2.0,7.0,1.0,3.0,0.0,0.0,1
2007-04-18,Liverpool,Middlesbrough,2.0,0.0,H,0.0,0.0,D,G Poll,18.0,5.0,7.0,2.0,8.0,13.0,8.0,2.0,0.0,1.0,0.0,0.0,1
2007-04-21,Liverpool,Wigan,2.0,0.0,H,1.0,0.0,H,M Riley,23.0,4.0,12.0,3.0,10.0,10.0,12.0,3.0,2.0,2.0,0.0,0.0,1
2007-05-13,Liverpool,Charlton,2.0,2.0,D,0.0,1.0,A,D Gallagher,22.0,8.0,7.0,4.0,5.0,12.0,9.0,2.0,0.0,0.0,0.0,0.0,1
2007-08-19,Liverpool,Chelsea,1.0,1.0,D,1.0,0.0,H,R Styles,18.0,6.0,8.0,2.0,11.0,16.0,5.0,2.0,4.0,5.0,0.0,0.0,1
2007-01-09,Liverpool,Derby,6.0,0.0,H,2.0,0.0,H,A Wiley,20.0,8.0,10.0,3.0,10.0,14.0,4.0,2.0,0.0,1.0,0.0,0.0,1
2007-09-22,Liverpool,Birmingham,0.0,0.0,D,0.0,0.0,D,L Mason,18.0,5.0,4.0,2.0,3.0,10.0,11.0,2.0,0.0,2.0,0.0,0.0,1
2007-07-10,Liverpool,Tottenham,2.0,2.0,D,1.0,1.0,D,M Halsey,21.0,11.0,9.0,6.0,18.0,10.0,5.0,3.0,0.0,1.0,0.0,0.0,1
2007-10-28,Liverpool,Arsenal,1.0,1.0,D,1.0,0.0,H,H Webb,11.0,11.0,8.0,4.0,16.0,10.0,4.0,1.0,3.0,3.0,0.0,0.0,1
2007-10-11,Liverpool,Fulham,2.0,0.0,H,0.0,0.0,D,S Tanner,20.0,5.0,12.0,3.0,9.0,12.0,8.0,2.0,0.0,2.0,0.0,0.0,1
2007-02-12,Liverpool,Bolton,4.0,0.0,H,2.0,0.0,H,S Bennett,23.0,6.0,14.0,3.0,11.0,14.0,5.0,5.0,0.0,3.0,0.0,0.0,1
2007-12-16,Liverpool,Man United,0.0,1.0,A,0.0,1.0,A,M Halsey,19.0,5.0,6.0,3.0,14.0,13.0,3.0,3.0,2.0,3.0,0.0,0.0,0
2007-12-22,Liverpool,Portsmouth,4.0,1.0,H,2.0,0.0,H,M Riley,14.0,9.0,7.0,3.0,13.0,11.0,3.0,1.0,1.0,2.0,0.0,0.0,1
2008-02-01,Liverpool,Wigan,1.0,1.0,D,0.0,0.0,D,S Bennett,15.0,6.0,11.0,1.0,13.0,16.0,4.0,1.0,2.0,1.0,0.0,0.0,1
2008-01-21,Liverpool,Aston Villa,2.0,2.0,D,1.0,0.0,H,M Clattenburg,17.0,4.0,7.0,3.0,11.0,15.0,8.0,2.0,2.0,2.0,0.0,0.0,1
2008-02-02,Liverpool,Sunderland,3.0,0.0,H,0.0,0.0,D,R Styles,14.0,6.0,11.0,3.0,8.0,10.0,4.0,1.0,1.0,2.0,0.0,0.0,1
2008-02-23,Liverpool,Middlesbrough,3.0,2.0,H,2.0,1.0,H,L Mason,13.0,6.0,8.0,3.0,8.0,11.0,6.0,2.0,2.0,5.0,0.0,1.0,1
2008-05-03,Liverpool,West Ham,4.0,0.0,H,1.0,0.0,H,S Bennett,20.0,2.0,11.0,2.0,9.0,15.0,16.0,3.0,0.0,3.0,0.0,0.0,1
2008-08-03,Liverpool,Newcastle,3.0,0.0,H,2.0,0.0,H,P Walton,15.0,6.0,13.0,4.0,8.0,7.0,12.0,8.0,1.0,0.0,0.0,0.0,1
2008-03-15,Liverpool,Reading,2.0,1.0,H,1.0,1.0,D,A Marriner,19.0,7.0,8.0,3.0,7.0,22.0,7.0,2.0,0.0,5.0,0.0,0.0,1
2008-03-30,Liverpool,Everton,1.0,0.0,H,1.0,0.0,H,H Webb,15.0,3.0,9.0,2.0,13.0,14.0,11.0,4.0,1.0,4.0,0.0,0.0,1
2008-04-13,Liverpool,Blackburn,3.0,1.0,H,0.0,0.0,D,A Wiley,17.0,7.0,9.0,3.0,12.0,10.0,5.0,1.0,1.0,0.0,0.0,0.0,1
2008-04-05,Liverpool,Man City,1.0,0.0,H,0.0,0.0,D,M Halsey,23.0,4.0,10.0,3.0,9.0,5.0,12.0,5.0,0.0,0.0,0.0,0.0,1
2008-08-23,Liverpool,Middlesbrough,2.0,1.0,H,0.0,0.0,D,M Riley,16.0,9.0,8.0,4.0,10.0,12.0,14.0,3.0,2.0,1.0,0.0,0.0,1
2008-09-13,Liverpool,Man United,2.0,1.0,H,1.0,1.0,D,H Webb,16.0,7.0,11.0,3.0,10.0,18.0,5.0,4.0,0.0,3.0,0.0,1.0,1
2008-09-20,Liverpool,Stoke,0.0,0.0,D,0.0,0.0,D,A Marriner,27.0,3.0,11.0,2.0,8.0,10.0,20.0,3.0,1.0,1.0,0.0,0.0,1
2008-10-18,Liverpool,Wigan,3.0,2.0,H,1.0,2.0,A,A Wiley,17.0,7.0,7.0,4.0,10.0,13.0,5.0,2.0,1.0,1.0,0.0,1.0,1
2008-10-29,Liverpool,Portsmouth,1.0,0.0,H,0.0,0.0,D,S Tanner,21.0,4.0,10.0,1.0,13.0,12.0,7.0,1.0,0.0,3.0,0.0,0.0,1
2008-08-11,Liverpool,West Brom,3.0,0.0,H,2.0,0.0,H,P Walton,11.0,4.0,10.0,2.0,10.0,8.0,3.0,7.0,2.0,1.0,0.0,0.0,1
2008-11-22,Liverpool,Fulham,0.0,0.0,D,0.0,0.0,D,M Halsey,18.0,6.0,7.0,6.0,7.0,6.0,9.0,3.0,0.0,0.0,0.0,0.0,1
2008-01-12,Liverpool,West Ham,0.0,0.0,D,0.0,0.0,D,P Walton,21.0,7.0,8.0,3.0,5.0,7.0,17.0,5.0,1.0,1.0,0.0,0.0,1
2008-12-13,Liverpool,Hull,2.0,2.0,D,2.0,2.0,D,A Wiley,22.0,9.0,10.0,3.0,12.0,8.0,8.0,4.0,3.0,3.0,0.0,0.0,1
2008-12-26,Liverpool,Bolton,3.0,0.0,H,1.0,0.0,H,A Wiley,18.0,4.0,8.0,2.0,7.0,12.0,16.0,3.0,1.0,3.0,0.0,0.0,1
2009-01-19,Liverpool,Everton,1.0,1.0,D,0.0,0.0,D,H Webb,9.0,7.0,5.0,6.0,19.0,15.0,4.0,4.0,0.0,2.0,0.0,0.0,1
2009-01-02,Liverpool,Chelsea,2.0,0.0,H,0.0,0.0,D,M Riley,21.0,4.0,15.0,1.0,20.0,15.0,12.0,1.0,4.0,3.0,0.0,1.0,1
2009-02-22,Liverpool,Man City,1.0,1.0,D,0.0,0.0,D,P Dowd,18.0,10.0,5.0,4.0,10.0,13.0,6.0,4.0,1.0,2.0,0.0,0.0,1
2009-03-03,Liverpool,Sunderland,2.0,0.0,H,0.0,0.0,D,M Halsey,22.0,5.0,12.0,2.0,9.0,6.0,6.0,2.0,1.0,1.0,0.0,0.0,1
2009-03-22,Liverpool,Aston Villa,5.0,0.0,H,3.0,0.0,H,M Atkinson,14.0,6.0,7.0,4.0,10.0,13.0,4.0,6.0,1.0,3.0,0.0,1.0,1
2009-11-04,Liverpool,Blackburn,4.0,0.0,H,2.0,0.0,H,M Riley,22.0,7.0,12.0,5.0,6.0,13.0,7.0,2.0,2.0,1.0,0.0,0.0,1
2009-04-21,Liverpool,Arsenal,4.0,4.0,D,0.0,1.0,A,H Webb,22.0,8.0,15.0,4.0,10.0,12.0,12.0,0.0,0.0,1.0,0.0,0.0,1
2009-03-05,Liverpool,Newcastle,3.0,0.0,H,2.0,0.0,H,P Dowd,25.0,3.0,11.0,3.0,6.0,8.0,7.0,1.0,0.0,2.0,0.0,1.0,1
2009-05-24,Liverpool,Tottenham,3.0,1.0,H,1.0,0.0,H,P Walton,20.0,8.0,9.0,4.0,14.0,4.0,9.0,2.0,0.0,1.0,0.0,0.0,1
2009-08-19,Liverpool,Stoke,4.0,0.0,H,2.0,0.0,H,P Walton,18.0,6.0,13.0,3.0,10.0,9.0,11.0,5.0,0.0,1.0,0.0,0.0,1
2009-08-24,Liverpool,Aston Villa,1.0,3.0,A,0.0,2.0,A,M Atkinson,21.0,7.0,12.0,4.0,15.0,11.0,10.0,4.0,3.0,2.0,0.0,0.0,0
2009-12-09,Liverpool,Burnley,4.0,0.0,H,2.0,0.0,H,L Mason,27.0,6.0,16.0,3.0,8.0,10.0,7.0,5.0,0.0,2.0,0.0,0.0,1
2009-09-26,Liverpool,Hull,6.0,1.0,H,2.0,1.0,H,P Walton,22.0,7.0,14.0,3.0,10.0,3.0,13.0,2.0,1.0,4.0,0.0,0.0,1
2009-10-25,Liverpool,Man United,2.0,0.0,H,0.0,0.0,D,A Marriner,11.0,7.0,6.0,5.0,20.0,11.0,5.0,1.0,2.0,3.0,1.0,1.0,1
2009-09-11,Liverpool,Birmingham,2.0,2.0,D,1.0,2.0,A,P Walton,27.0,5.0,14.0,2.0,7.0,9.0,11.0,1.0,1.0,2.0,0.0,0.0,1
2009-11-21,Liverpool,Man City,2.0,2.0,D,0.0,0.0,D,P Dowd,10.0,9.0,6.0,6.0,9.0,13.0,7.0,3.0,2.0,0.0,0.0,0.0,1
2009-12-13,Liverpool,Arsenal,1.0,2.0,A,1.0,0.0,H,H Webb,6.0,7.0,3.0,5.0,19.0,16.0,3.0,4.0,3.0,3.0,0.0,0.0,0
2009-12-16,Liverpool,Wigan,2.0,1.0,H,1.0,0.0,H,P Dowd,12.0,8.0,7.0,5.0,12.0,11.0,13.0,0.0,1.0,1.0,0.0,0.0,1
2009-12-26,Liverpool,Wolves,2.0,0.0,H,0.0,0.0,D,A Marriner,14.0,6.0,10.0,2.0,9.0,10.0,7.0,1.0,0.0,1.0,0.0,1.0,1
2010-01-20,Liverpool,Tottenham,2.0,0.0,H,1.0,0.0,H,H Webb,13.0,7.0,5.0,5.0,11.0,17.0,2.0,3.0,2.0,3.0,0.0,0.0,1
2010-01-30,Liverpool,Bolton,2.0,0.0,H,1.0,0.0,H,S Bennett,13.0,4.0,6.0,1.0,12.0,10.0,11.0,3.0,1.0,3.0,0.0,0.0,1
2010-06-02,Liverpool,Everton,1.0,0.0,H,0.0,0.0,D,M Atkinson,9.0,6.0,4.0,3.0,11.0,23.0,8.0,8.0,3.0,3.0,1.0,1.0,1
2010-02-28,Liverpool,Blackburn,2.0,1.0,H,2.0,1.0,H,A Wiley,12.0,12.0,6.0,7.0,10.0,22.0,4.0,5.0,1.0,5.0,0.0,0.0,1
2010-03-15,Liverpool,Portsmouth,4.0,1.0,H,3.0,0.0,H,S Attwell,23.0,7.0,12.0,3.0,10.0,15.0,8.0,4.0,0.0,2.0,0.0,0.0,1
2010-03-28,Liverpool,Sunderland,3.0,0.0,H,2.0,0.0,H,P Dowd,25.0,7.0,16.0,2.0,11.0,9.0,9.0,2.0,0.0,1.0,0.0,0.0,1
2010-11-04,Liverpool,Fulham,0.0,0.0,D,0.0,0.0,D,A Marriner,18.0,2.0,9.0,2.0,6.0,16.0,10.0,1.0,1.0,3.0,0.0,0.0,1
2010-04-19,Liverpool,West Ham,3.0,0.0,H,2.0,0.0,H,P Walton,17.0,6.0,8.0,2.0,8.0,12.0,9.0,2.0,0.0,2.0,0.0,0.0,1
2010-02-05,Liverpool,Chelsea,0.0,2.0,A,0.0,1.0,A,A Wiley,7.0,15.0,2.0,11.0,7.0,7.0,9.0,5.0,1.0,2.0,0.0,0.0,0
2010-08-15,Liverpool,Arsenal,1.0,1.0,D,0.0,0.0,D,M Atkinson,7.0,14.0,4.0,7.0,13.0,15.0,9.0,11.0,1.0,3.0,1.0,1.0,1
2010-08-29,Liverpool,West Brom,1.0,0.0,H,0.0,0.0,D,L Probert,11.0,14.0,7.0,5.0,9.0,8.0,7.0,6.0,0.0,0.0,0.0,1.0,1
2010-09-25,Liverpool,Sunderland,2.0,2.0,D,1.0,1.0,D,S Attwell,13.0,10.0,5.0,1.0,15.0,7.0,3.0,3.0,3.0,1.0,0.0,0.0,1
2010-03-10,Liverpool,Blackpool,1.0,2.0,A,0.0,2.0,A,M Jones,19.0,11.0,10.0,7.0,11.0,10.0,5.0,2.0,2.0,1.0,0.0,0.0,0
2010-10-24,Liverpool,Blackburn,2.0,1.0,H,0.0,0.0,D,P Dowd,17.0,4.0,10.0,2.0,17.0,12.0,15.0,4.0,2.0,3.0,0.0,0.0,1
2010-07-11,Liverpool,Chelsea,2.0,0.0,H,2.0,0.0,H,H Webb,9.0,11.0,7.0,7.0,15.0,17.0,2.0,5.0,0.0,2.0,0.0,0.0,1
2010-11-20,Liverpool,West Ham,3.0,0.0,H,3.0,0.0,H,L Probert,19.0,6.0,11.0,1.0,8.0,8.0,10.0,2.0,0.0,1.0,0.0,0.0,1
2010-06-12,Liverpool,Aston Villa,3.0,0.0,H,2.0,0.0,H,P Dowd,12.0,5.0,7.0,2.0,12.0,13.0,4.0,3.0,0.0,1.0,0.0,0.0,1
2010-12-29,Liverpool,Wolves,0.0,1.0,A,0.0,0.0,D,P Walton,9.0,7.0,5.0,3.0,8.0,11.0,2.0,8.0,1.0,1.0,0.0,0.0,0
